,t0_F1E_2,t0_F1E_3,t0_F1E_4,t0_F1C_2,t0_F1C_3,t0_F1C_4,LPS_F1E_1,LPS_F1E_2,LPS_F1E_3,LPS_F1C_1,LPS_F1C_2,LPS_F1C_4
PI4KB,0,0,2.550232743,0.905395257,0.381673394,3.290871722,0.72118186,3.488234812,1.274068672,0.889189441,1.031494689,1.010204394
ENSGALG00000024039,0,1.71682137,0,0.905395257,2.290040362,2.193914481,0,0,0,0.889189441,0,1.010204394
FAHD1,89.27736955,84.12424713,61.20558584,95.97189723,71.37292462,65.81743443,67.79109481,69.76469624,90.45887572,59.57569256,66.01566012,94.95921307
RAB33A,254.0971287,298.7269184,323.8795584,189.6803063,160.6844987,200.1946964,184.6225561,197.0852669,157.9845154,164.5000466,193.9210016,163.6531119
SETDB1,10.98798394,97.85881809,12.75116372,27.16185771,20.61036326,21.39066619,15.14481905,26.16176109,17.83696141,17.78378882,18.56690441,22.22449668
ICMT,24.72296388,27.46914192,25.50232743,16.74981225,17.17530272,17.55131585,14.42363719,12.20882184,26.75544212,15.1162205,21.66138848,11.11224834
CHST3,6.867489965,6.86728548,7.65069823,4.979673913,9.160161449,7.130222063,7.211818597,3.488234812,11.46661805,2.667568323,5.157473447,12.12245273
ENSGALG00000024077,5.493991972,0,0,4.074278656,1.526693575,0.54847862,0.72118186,1.744117406,1.274068672,0,1.031494689,2.020408789
SMCR8,5.493991972,6.86728548,2.550232743,2.263488142,5.343427512,6.581743443,5.048273018,8.72058703,15.28882407,6.224326088,8.251957515,6.061226366
TCIM,79.6628836,49.78781973,58.6553531,51.60752964,42.3657467,54.84786203,69.95464039,95.92645733,117.2143178,48.90541926,71.17313357,91.92859989
PSMD11,196.410213,291.8596329,362.1330495,211.4097925,200.7602051,209.5188329,245.9230142,240.688202,228.0582923,216.9622236,209.3934219,241.4388503
ENSGALG00000024136,10.98798394,12.01774959,22.95209469,11.31744071,8.778488055,7.130222063,12.98127347,20.92940887,5.096274689,4.445947206,9.283452204,11.11224834
ENSGALG00000024172,5.493991972,13.73457096,0,4.526976285,4.198407331,5.484786203,2.163545579,3.488234812,7.644412033,6.224326088,11.34644158,4.040817578
ECHS1,508.1942574,545.9491957,772.7205212,447.2652569,450.756278,540.251441,430.5455702,481.3764041,503.2571255,409.9163324,402.2829289,467.7246346
ENSGALG00000024272,4.120493979,24.03549918,20.40186195,11.77013834,6.488447693,4.936307582,184.6225561,249.4087891,180.9177514,376.1271336,353.8026785,171.734747
ENSGALG00000024288,107.1328435,109.8765677,109.660008,90.08682806,82.44145304,85.56266476,99.52309664,90.69410511,89.18480705,88.02975467,95.92900611,106.0714614
ENSGALG00000024295,71.42189564,30.90278466,53.55488761,62.92497036,75.57133195,74.04461373,67.06991295,36.62646553,45.8664722,44.45947206,36.10231413,63.64287685
ENSGALG00000024296,8.240987958,15.45139233,20.40186195,14.93902174,10.30518163,14.26044413,14.42363719,15.69705665,10.19254938,9.781083853,8.251957515,6.061226366
RPUSD4,54.93991972,54.93828384,33.15302566,51.15483202,51.52590815,53.20242616,41.107366,55.81175699,40.77019751,35.56757765,28.8818513,46.46940214
CDC34,8.240987958,8.58410685,7.65069823,13.58092885,11.45020181,10.42109378,11.53890975,6.976469624,8.918480705,8.00270497,8.251957515,6.061226366
ENSGALG00000024335,49.44592775,37.77007014,38.25349115,44.36436759,44.27411367,33.45719584,48.3191846,41.85881774,53.51088423,48.90541926,43.32277695,60.61226366
ZNF414,1.373497993,3.43364274,10.20093097,6.790464427,4.580080724,10.42109378,5.048273018,6.976469624,2.548137344,0,4.125978757,8.081635155
ENSGALG00000024379,0,0,0,2.716185771,0.763346787,1.645435861,5.048273018,5.232352218,3.822206017,0.889189441,3.094484068,12.12245273
CACTIN,144.2172893,116.7438532,160.6646628,141.2416601,143.509196,106.953331,147.1210994,174.4117406,129.9550046,166.2784255,129.9683309,137.3877976
ENSGALG00000024395,189.542723,224.9035995,237.1716451,187.4168182,198.8518381,221.5853626,190.392011,200.5735017,196.2065755,159.16491,153.6927087,187.8980174
RPS28,3382.925557,2825.887975,3636.631892,2635.152895,2666.370328,3095.613333,3006.607173,3237.081906,2373.589936,2461.276373,2555.012346,2817.460056
RAMP2,79.6628836,135.6288882,158.1144301,108.1947332,66.02949711,91.04745096,31.01081997,31.39411331,59.88122759,24.89730435,42.29128226,35.3571538
